"Item","# Purchases","Fastest (secs)","Slowest (secs)","Mean (secs)","Std Deviation","Winrate"
"Recipe: Dagon","193","585","4753","2124","708","60.10%"
"Eaglesong","192","1095","4404","2051","470","65.62%"
"Recipe: Sange","186","511","2978","1401","493","54.30%"
"Sange","186","646","2978","1420","487","54.30%"
"Ghost Scepter","183","876","3593","2011","507","51.91%"
"Assault Cuirass","181","1165","4520","2105","487","62.43%"
"Shiva's Guard","175","1140","3831","2091","412","66.86%"
"Sacred Relic","170","656","4044","1737","745","53.53%"
"Recipe: Necronomicon","169","400","1805","947","287","46.75%"
"Butterfly","166","1311","4405","2111","431","67.47%"
"Recipe: Orchid Malevolence","165","696","3765","1600","730","56.36%"
"Orchid Malevolence","164","696","3765","1625","721","56.10%"
"Desolator","160","467","3061","1314","456","53.75%"
"Demon Edge","152","587","4045","1489","846","49.34%"
"Monkey King Bar","152","1094","3880","2231","486","51.32%"
"Orb of Venom","149","-88","2322","157","269","46.31%"
"Soul Booster","142","757","3548","1639","666","60.56%"
"Faerie Fire","137","-88","2938","290","643","42.34%"
"Recipe: Armlet of Mordiggian","133","320","2376","690","253","48.87%"
"Armlet of Mordiggian","133","465","2376","769","233","48.87%"
"Recipe: Mjollnir","132","1070","3657","2043","545","60.61%"
"Recipe: Mekansm","127","458","2714","1229","447","56.69%"
"Mekansm","126","571","2745","1259","438","56.35%"
"Mjollnir","119","1088","3689","2095","543","62.18%"
"Recipe: Kaya","119","423","2935","1131","492","50.42%"
"Kaya","119","441","2935","1167","484","50.42%"
"Recipe: Radiance","119","654","3019","1397","410","56.30%"
"Sange and Yasha","118","801","2962","1281","314","56.78%"
"Vladmir's Offering","117","453","3704","1582","684","59.83%"
"Recipe: Spirit Vessel","117","865","3477","1650","491","72.65%"
"Recipe: Pipe of Insight","115","805","2863","1545","412","66.09%"
"Pipe of Insight","115","824","2863","1581","412","66.09%"
"Spirit Vessel","109","910","3499","1757","489","71.56%"
"Recipe: Diffusal Blade","108","498","2556","1201","447","57.41%"
"Diffusal Blade","107","558","2556","1243","424","57.94%"
"Radiance","105","775","3019","1416","352","58.10%"
"Battle Fury","101","587","2005","1006","243","51.49%"
"Recipe: Aether Lens","99","453","3202","1593","608","61.62%"
"Recipe: Crystalys","97","1220","3858","2374","564","62.89%"
"Crystalys","97","1357","3858","2376","560","62.89%"
"Reaver","96","930","3687","2219","535","72.92%"
"Vanguard","95","312","3281","1767","608","69.47%"
"Aether Lens","94","580","3219","1633","597","60.64%"
"Blade Mail","94","556","2838","1349","477","59.57%"
"Scythe of Vyse","92","1414","4162","2346","590","54.35%"
"Recipe: Guardian Greaves","84","718","2892","1676","409","63.10%"
"Bloodstone","83","757","2909","1294","367","54.22%"
"Eye of Skadi","81","1126","3387","1940","481","64.20%"
"Recipe: Skull Basher","80","851","4258","1910","522","67.50%"
"Skull Basher","80","854","4258","1915","517","67.50%"
"Guardian Greaves","79","720","2919","1702","403","62.03%"
"Lotus Orb","71","1228","3486","2113","525","63.38%"
"Echo Sabre","70","704","2084","1131","254","50.00%"
"Dagon","66","621","4502","1928","798","60.61%"
"Recipe: Aeon Disk","63","1201","3861","2179","668","66.67%"
"Recipe: Silver Edge","63","1106","3245","1733","440","68.25%"
"Silver Edge","61","1227","3245","1821","440","67.21%"
"Necronomicon","58","476","1569","765","183","46.55%"
"Necronomicon","56","614","1661","1033","237","46.43%"
"Heaven's Halberd","56","998","3083","1893","512","57.14%"
"Necronomicon","55","762","1833","1173","240","47.27%"
"Aeon Disk","54","1333","3950","2248","667","62.96%"
"Heart of Tarrasque","51","1141","3687","2154","556","78.43%"
"Recipe: Refresher Orb","50","1879","4364","2981","656","62.00%"
"Recipe: Bloodthorn","50","1714","3858","2614","537","70.00%"
"Refresher Orb","50","1915","4364","2993","647","62.00%"
"Bloodthorn","50","1755","3863","2629","536","70.00%"
"Rod of Atos","48","661","2629","1384","437","62.50%"
"Recipe: Abyssal Blade","48","1551","3362","2074","385","81.25%"
"Recipe: Rod of Atos","48","646","2624","1349","438","62.50%"
"Abyssal Blade","47","1608","3369","2112","374","82.98%"
"Dagon","46","1324","4503","2210","652","60.87%"
"Octarine Core","45","1191","3700","2266","600","77.78%"
"Boots of Travel","40","2262","4486","3149","586","65.00%"
"Moon Shard","40","1500","4168","2944","579","72.50%"
"Nullifier","40","1492","3695","2308","530","62.50%"
"Recipe: Crimson Guard","38","1146","3584","1891","485","65.79%"
"Satanic","36","1909","3396","2496","402","69.44%"
"Crimson Guard","35","1147","2949","1904","417","65.71%"
"Helm of the Dominator","32","419","2072","882","353","40.62%"
"Dagon","32","1397","4506","2136","596","56.25%"
"Recipe: Daedalus","28","1504","3613","2395","528","64.29%"
"Dagon","25","1492","4642","2304","596","60.00%"
"Meteor Hammer","25","652","2564","1476","525","84.00%"
"Daedalus","24","1538","3748","2448","556","62.50%"
"Dagon","22","1552","4753","2443","633","59.09%"
"Animal Courier","19","-88","-67","-83","5","42.11%"
"Divine Rapier","18","2033","4045","2975","686","16.67%"
"Ethereal Blade","17","1382","3274","2198","626","58.82%"
