Team	Wins	Losses	Win %	Avg Elo Gain	Total Elo Gain
thewingsgaming	25	10	71.43%	-	-
DigitalChaos	33	14	70.21%	-	-
EHOME	31	14	68.89%	-	-
EvilGeniuses	20	10	66.67%	-	-
Fnatic	27	15	64.29%	-	-
OG	12	7	63.16%	-	-
Alliance	20	16	55.56%	-	-
TNCProTeam	11	9	55.00%	-	-
Execration	15	13	53.57%	-	-
ViciGaming	9	8	52.94%	-	-
compLexityGaming	12	11	52.17%	-	-
TeamSecret	13	13	50.00%	-	-
WarriorsGamingUnity	8	8	50.00%	-	-
iGVitality	5	5	50.00%	-	-
ViciGamingReborn	18	19	48.65%	-	-
Newbee	9	10	47.37%	-	-
InvictusGaming	6	7	46.15%	-	-
VegaSquadron	4	5	44.44%	-	-
TeamEmpire	4	5	44.44%	-	-
Virtuspro	4	5	44.44%	-	-
UnknownRadiantTeam	19	24	44.19%	-	-
FantasticFive	7	9	43.75%	-	-
FriendshipDedicationLove	5	7	41.67%	-	-
EscapeGaming	19	27	41.30%	-	-
TeamLiquid	8	12	40.00%	-	-
NatusVincere	6	9	40.00%	-	-
MVPPhoenix	8	13	38.10%	-	-
LGDGAMING	6	11	35.29%	-	-
UnknownDireTeam	7	13	35.00%	-	-
TheMongolz	3	6	33.33%	-	-
CDECYouth	3	6	33.33%	-	-
CDECGaming	3	6	33.33%	-	-
PowerRangers	3	6	33.33%	-	-
OrangeTaring	3	6	33.33%	-	-
TeamRave	3	6	33.33%	-	-
WhiteFriesGaming	4	9	30.77%	-	-
NewbeeYoung	2	7	22.22%	-	-
Effect	2	7	22.22%	-	-
DrinkingBoys	1	5	16.67%	-	-
	0	6	0.00%	-	-
