"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Gunnar","17","7","10","41.18%","8.00","5.18","7.00","570.06","613.29"
"venom","17","7","10","41.18%","6.12","4.82","8.35","509.88","514.53"
"LFT.Colleo","9","1","8","11.11%","1.67","8.78","8.44","189.11","232.78"
"Ca$H","9","1","8","11.11%","1.67","5.67","7.11","210.22","251.00"
"Enough","9","1","8","11.11%","3.11","6.00","6.67","314.56","363.44"
"player2011","8","6","2","75.00%","5.88","3.88","11.75","448.38","465.50"
"Zinedine","8","6","2","75.00%","2.50","5.25","14.75","285.75","307.12"
"Vinny","8","6","2","75.00%","3.12","5.38","18.00","350.25","399.00"
