Player	Total Games	Wins	Losses	Winrate	Kills	Deaths	Assists	GPM	XPM
MSS	226	136	90	60.18%	4.94	3.69	11.31	392.88	422.98
Aui_2000	226	136	90	60.18%	5.73	2.79	9.64	485.19	474.39
EternaLEnVy	225	135	90	60.00%	5.62	3.42	9.8	549.79	539.12
1437	159	93	66	58.49%	2.78	4.25	11.1	299.9	317.53
SVG	159	93	66	58.49%	2.45	4.13	12.34	268.64	286.76
FATA-	67	43	24	64.18%	9.82	3.55	10.01	600.87	644.61
pieliedie	67	43	24	64.18%	1.96	5.13	13.69	262.58	315.12
EternaLEnVy	1	1	0	100.00%	5	3	10	512	525
