"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"fy","115","56","59","48.70%","3.78","5.40","13.01","326.81","393.71"
"Agressif","115","56","59","48.70%","7.78","3.91","9.69","549.57","553.95"
"Fenrir","115","56","59","48.70%","3.19","4.78","13.05","275.79","337.27"
"Freeze","115","56","59","48.70%","7.40","4.39","9.91","536.37","550.57"
"rOtk","113","55","58","48.67%","2.96","5.66","12.94","413.88","469.17"
"Unknown","2","1","1","50.00%","6.50","11.00","20.00","311.50","435.50"
