"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"monkeys-forever","17","7","10","41.18%","4.65","5.53","7.06","438.12","457.24"
"Newsham","17","7","10","41.18%","2.65","6.00","10.35","254.71","326.76"
"Jenkins","17","7","10","41.18%","2.94","5.47","9.00","326.35","382.41"
"Zyzzy","17","7","10","41.18%","5.00","3.76","7.18","484.88","478.18"
"frenzy","13","5","8","38.46%","3.15","4.69","11.08","266.00","323.85"
"iAnnihilate","4","2","2","50.00%","5.50","4.00","4.75","588.25","638.00"
