"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Nofear","11","3","8","27.27%","2.36","6.64","13.09","245.27","300.00"
"yoky-","11","3","8","27.27%","4.91","3.82","10.09","432.27","444.45"
"Chu","11","3","8","27.27%","2.64","5.82","13.64","282.82","349.09"
"Pikachu[ϟ]","8","2","6","25.00%","9.38","5.38","10.38","508.00","552.88"
"Sedoy","8","2","6","25.00%","6.00","3.88","12.50","529.12","572.62"
"XBOCT","3","1","2","33.33%","3.33","4.00","7.00","418.00","431.67"
"..","3","1","2","33.33%","4.33","4.33","4.33","518.00","522.33"
