"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"TEAMSAF","8","2","6","25.00%","2.88","6.62","14.12","263.62","336.75"
"poloson","8","2","6","25.00%","4.50","7.00","10.62","347.62","413.38"
"Meracle♥L","8","2","6","25.00%","4.75","5.88","8.50","478.25","553.38"
"KAL","8","2","6","25.00%","2.62","6.50","10.75","218.75","263.75"
"Chibix","8","2","6","25.00%","8.50","5.62","6.50","505.88","574.50"
