"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Puer tea","9","3","6","33.33%","4.33","4.22","8.22","424.67","498.67"
"大咕噜。","8","3","5","37.50%","2.62","5.88","13.00","251.38","315.38"
"零","8","3","5","37.50%","3.38","7.00","10.88","228.38","303.88"
"牛欢喜","8","3","5","37.50%","5.50","4.75","9.00","439.50","489.88"
"失落叶","8","3","5","37.50%","8.25","5.62","7.00","576.38","613.38"
"prettyhaw","1","0","1","0.00%","2.00","11.00","9.00","177.00","211.00"
"897","1","0","1","0.00%","3.00","7.00","6.00","259.00","308.00"
"XinQ","1","0","1","0.00%","0.00","6.00","6.00","405.00","493.00"
"huuhk","1","0","1","0.00%","3.00","7.00","3.00","359.00","393.00"
