"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Saksa","94","53","41","56.38%","2.61","5.79","13.09","298.29","349.14"
"w33","94","53","41","56.38%","7.82","4.60","9.46","530.24","586.48"
"MiSeRy","92","52","40","56.52%","2.84","5.96","13.11","291.67","363.87"
"MoonMeander","92","52","40","56.52%","3.88","5.20","11.40","406.27","453.75"
"Resolut1on","92","52","40","56.52%","7.64","2.84","8.90","605.75","601.20"
"Timado","2","1","1","50.00%","5.00","3.00","6.50","580.50","550.50"
"KheZu","2","1","1","50.00%","4.50","3.50","9.00","470.00","462.50"
"canceL^^","2","1","1","50.00%","1.50","6.50","9.50","431.00","424.50"
