"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"Masoku","21","8","13","38.10%","2.19","6.00","10.86","246.48","317.90"
"Leostyle","21","8","13","38.10%","7.71","4.90","7.38","534.43","577.24"
"830","18","7","11","38.89%","2.33","6.72","13.06","282.00","348.00"
"papita","14","6","8","42.86%","3.64","3.71","11.57","359.29","447.57"
"gantz","9","3","6","33.33%","7.00","3.89","6.67","528.33","548.11"
"Kotarō.sr4ever","9","3","6","33.33%","5.33","5.11","8.22","480.44","480.89"
"Kingteka","7","2","5","28.57%","1.86","4.43","8.14","357.57","431.29"
"StiNGer","3","1","2","33.33%","1.33","6.33","7.00","246.00","273.00"
"Nakamura Azami","3","2","1","66.67%","6.33","5.00","10.33","569.67","656.67"
