"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"","44","20","24","45.45%","2.98","5.73","13.07","244.41","331.80"
"Nίx","41","19","22","46.34%","8.44","4.32","9.56","527.37","569.02"
"Funn1k","36","18","18","50.00%","4.47","6.28","12.53","390.69","441.97"
"Pikachu[ϟ]","30","12","18","40.00%","7.17","5.53","10.13","516.07","598.10"
"Unknown","30","12","18","40.00%","3.50","6.80","14.33","266.00","364.67"
"Misha","14","8","6","57.14%","2.07","6.14","16.43","234.86","329.50"
"iLTW","14","8","6","57.14%","8.29","3.43","8.64","526.64","535.36"
"Blizzy","8","2","6","25.00%","3.88","5.75","13.50","330.25","433.25"
"Maden","3","1","2","33.33%","5.33","4.33","4.33","443.67","470.00"
