"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"EG.Sum1erda :v","12","5","7","41.67%","4.08","6.00","15.50","285.17","351.08"
"Bichito","12","5","7","41.67%","8.92","5.42","7.25","527.00","594.83"
"Black_Star","12","5","7","41.67%","5.17","4.92","12.00","341.75","391.83"
"AFK","12","5","7","41.67%","2.50","7.50","12.75","297.08","338.42"
"YPFB","7","2","5","28.57%","5.29","6.00","6.29","472.00","528.14"
"Nitro","5","3","2","60.00%","7.40","3.60","16.20","583.00","672.20"
