"Player","Total Games","Wins","Losses","Winrate","Kills","Deaths","Assists","GPM","XPM"
"THANKS","10","1","9","10.00%","6.20","6.10","5.80","455.30","494.90"
"GrandMaguS","10","1","9","10.00%","2.10","4.70","7.90","323.70","389.20"
"JPfood","10","1","9","10.00%","2.40","6.10","10.30","233.80","287.70"
"Amelia Z","9","1","8","11.11%","4.11","5.44","6.44","375.44","434.22"
"saf","9","1","8","11.11%","2.11","6.44","8.00","258.33","324.11"
"Yadomi","1","0","1","0.00%","1.00","3.00","8.00","176.00","329.00"
"qiyuE.","1","0","1","0.00%","4.00","9.00","6.00","388.00","407.00"
