1,TeamLiquid
2,LGDForeverYoung
3,LGDGAMING
4,Newbee
5,TeamEmpire
6,TeamSecret
7,OG
8,Virtuspro
9,NatusVincere
10,InvictusGaming
11,CDECGaming
12,EHOME
13,Fnatic
14,ViciGaming
15,Cloud9
16,Alliance
