Team	Wins	Losses	Win %	Avg Elo Gain	Total Elo Gain
LGDGAMING	20	4	83.33%	-	-
InvictusGaming	24	7	77.42%	-	-
DK	14	7	66.67%	-	-
NatusVincere	15	12	55.56%	-	-
compLexityGaming	10	8	55.56%	-	-
Zenith	10	10	50.00%	-	-
EHOME	9	9	50.00%	-	-
OrangeESports	9	9	50.00%	-	-
EvilGeniuses	9	9	50.00%	-	-
UnknownDireTeam	4	5	44.44%	-	-
CounterLogicGaming	7	9	43.75%	-	-
UnknownRadiantTeam	4	7	36.36%	-	-
AbsoluteLegends	5	10	33.33%	-	-
mousesports	5	13	27.78%	-	-
Darer	4	12	25.00%	-	-
mTw	3	12	20.00%	-	-
MoscowFive	2	11	15.38%	-	-
