Team	Wins	Losses	Win %	Avg Elo Gain	Total Elo Gain
EvilGeniuses	19	8	70.37%	-	-
LGDGAMING	18	8	69.23%	-	-
mousesports	9	4	69.23%	-	-
CDECGaming	31	14	68.89%	-	-
compLexityGaming	22	10	68.75%	-	-
EHOME	23	12	65.71%	-	-
Rave	9	5	64.29%	-	-
TeamSecret	14	8	63.64%	-	-
thewingsgaming	10	6	62.50%	-	-
eGamersX	3	2	60.00%	-	-
ViciGaming	14	10	58.33%	-	-
VegaSquadron	14	11	56.00%	-	-
NinjasinPyjamas	6	5	54.55%	-	-
STARKgg	7	6	53.85%	-	-
EnergyPacemakergaming	7	6	53.85%	-	-
MVPPhoenix	24	21	53.33%	-	-
Virtuspro	13	13	50.00%	-	-
UNKNOWN	7	7	50.00%	-	-
GGuardEsports	4	4	50.00%	-	-
HyperGloryTeam	4	4	50.00%	-	-
TeamArchon	10	11	47.62%	-	-
NatusVincere	14	16	46.67%	-	-
TeamEmpire	10	12	45.45%	-	-
MVPHOT6	13	17	43.33%	-	-
UnknownDireTeam	18	27	40.00%	-	-
Newbee	6	9	40.00%	-	-
Newbeemiracle	2	3	40.00%	-	-
InvictusGaming	7	11	38.89%	-	-
Cloud9	7	11	38.89%	-	-
UnknownRadiantTeam	19	30	38.78%	-	-
LondonConspiracyDota2	3	5	37.50%	-	-
Alliance	3	5	37.50%	-	-
PowerRangers	3	5	37.50%	-	-
BurdenUnited	3	5	37.50%	-	-
Can'tSayWips	3	5	37.50%	-	-
ROOTgamingcom	3	5	37.50%	-	-
WheelWhreckWhileWhistling	3	5	37.50%	-	-
NewbeeYoung	3	5	37.50%	-	-
O1dBoys	3	5	37.50%	-	-
TongFuWanZhou	3	5	37.50%	-	-
GameStuff	1	2	33.33%	-	-
TeamAlternateAttax	1	2	33.33%	-	-
SCARYFACEZZZZZZZ	1	2	33.33%	-	-
InvasioneSports	3	7	30.00%	-	-
Fnatic	4	11	26.67%	-	-
5eva	2	6	25.00%	-	-
Leviathan	2	6	25.00%	-	-
Team_eHug	1	7	12.50%	-	-
Gods party	0	2	0.00%	-	-
EXECRATION1	0	1	0.00%	-	-
Turtlemasters	0	1	0.00%	-	-
AcesVN	0	1	0.00%	-	-
