Team	Wins	Losses	Win %	Avg Elo Gain	Total Elo Gain
Alliance	23	3	88.46%	-	-
NatusVincere	19	11	63.33%	-	-
DK	14	9	60.87%	-	-
OrangeNeolutionEsports	16	12	57.14%	-	-
UnknownDireTeam	8	6	57.14%	-	-
Fnatic	10	8	55.56%	-	-
InvictusGaming	12	10	54.55%	-	-
UnknownRadiantTeam	6	5	54.55%	-	-
LGDGAMING	9	8	52.94%	-	-
TeamLiquid	9	8	52.94%	-	-
TeamDignitas	8	8	50.00%	-	-
Zenith	7	9	43.75%	-	-
LGDGAMINGint	6	10	37.50%	-	-
RaTtLeSnAkECNGaMiNg	6	13	31.58%	-	-
mousesports	4	11	26.67%	-	-
QuanticGaming	1	3	25.00%	-	-
Virtuspro	3	12	20.00%	-	-
InvasionMUFC	0	15	0.00%	-	-
